#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPS19	RPL8	4450976	4435108	9606.ENSP00000470972	9606.ENSP00000262584	0	0	0	0	0.999	0.992	0.900	0.619	0.999
RPL35A	RPL10A	4449013	4444285	9606.ENSP00000419117	9606.ENSP00000363018	0	0	0	0	0.989	0.992	0.900	0.318	0.999
RPL29	RPL34	4448994	4446300	9606.ENSP00000418868	9606.ENSP00000378163	0	0	0	0	0.979	0.960	0.900	0.681	0.999
RPL35A	RPS3	4449013	4436296	9606.ENSP00000419117	9606.ENSP00000278572	0	0	0	0	0.996	0.963	0.900	0.468	0.999
RPS25	RPL12	4449729	4442534	9606.ENSP00000435096	9606.ENSP00000354739	0	0	0	0	0.997	0.992	0.900	0.747	0.999
RPL10	RPL4	4448690	4438689	9606.ENSP00000413436	9606.ENSP00000311430	0.077	0	0	0	0.979	0.950	0.900	0.426	0.999
RPS15	RPL35A	4450850	4449013	9606.ENSP00000467466	9606.ENSP00000419117	0	0	0	0	0.971	0.992	0.900	0.791	0.999
RPS8	RPLP1	4446579	4441581	9606.ENSP00000379888	9606.ENSP00000346037	0	0	0	0	0.992	0.992	0.900	0.587	0.999
RPL10A	RPS17	4444285	4441582	9606.ENSP00000363018	9606.ENSP00000346046	0	0	0	0	0.976	0.960	0.900	0.369	0.999
RPS28	RPL11	4451031	4444414	9606.ENSP00000472469	9606.ENSP00000363676	0	0	0	0	0.983	0.991	0.900	0.559	0.999
RPL30	RPS29	4449429	4446487	9606.ENSP00000428085	9606.ENSP00000379339	0	0	0	0	0.990	0.963	0.900	0.615	0.999
RPLP0	RPS17	4450282	4441582	9606.ENSP00000449328	9606.ENSP00000346046	0	0	0	0	0.982	0.991	0.900	0.534	0.999
RPS8	EEF2	4446579	4438372	9606.ENSP00000379888	9606.ENSP00000307940	0	0	0	0	0.976	0.956	0.900	0.499	0.999
RPL13	RPS9	4438368	4437909	9606.ENSP00000307889	9606.ENSP00000302896	0	0	0	0	0.993	0.991	0.900	0.494	0.999
RPS20	RPL3	4449502	4441576	9606.ENSP00000429374	9606.ENSP00000346001	0.135	0	0	0	0.994	0.961	0.900	0.685	0.999
RPL18	RPS20	4450217	4449502	9606.ENSP00000447001	9606.ENSP00000429374	0	0	0	0	0.986	0.960	0.900	0.398	0.999
RPL21	RPS9	4441579	4437909	9606.ENSP00000346027	9606.ENSP00000302896	0	0	0	0	0.975	0.991	0.900	0.938	0.999
RPL24	RPL13A	4446224	4445957	9606.ENSP00000377640	9606.ENSP00000375730	0	0	0	0	0.984	0.991	0.900	0.349	0.999
COX6C	COX6B1	4449475	4433989	9606.ENSP00000428895	9606.ENSP00000246554	0	0	0	0	0.771	0.806	0.900	0.827	0.999
RPS8	RPL21	4446579	4441579	9606.ENSP00000379888	9606.ENSP00000346027	0	0	0	0	0.993	0.992	0.900	0.694	0.999
RPS3A	EEF2	4441583	4438372	9606.ENSP00000346050	9606.ENSP00000307940	0	0	0	0	0.974	0.967	0.900	0.211	0.999
EEF2	RPS3	4438372	4436296	9606.ENSP00000307940	9606.ENSP00000278572	0.167	0	0.203	0	0.976	0.798	0.900	0.418	0.999
RPL36A	RPLP1	4448320	4441581	9606.ENSP00000404375	9606.ENSP00000346037	0	0	0	0	0.746	0.956	0.900	0.611	0.999
RPS17	RPS27A	4441582	4436015	9606.ENSP00000346046	9606.ENSP00000272317	0	0	0	0	0.989	0.960	0.900	0.615	0.999
RPS20	RPL9	4449502	4448124	9606.ENSP00000429374	9606.ENSP00000400467	0.219	0	0	0	0.995	0.964	0.900	0.618	0.999
RPL36A	RPL13	4448320	4438368	9606.ENSP00000404375	9606.ENSP00000307889	0	0	0	0	0.762	0.954	0.900	0.333	0.999
RPS11	RPL8	4435953	4435108	9606.ENSP00000270625	9606.ENSP00000262584	0.219	0	0.207	0	0.999	0.992	0.900	0.673	0.999
RPL6	RPL13	4448260	4438368	9606.ENSP00000403172	9606.ENSP00000307889	0	0	0	0	0.993	0.991	0.900	0.671	0.999
RPL11	RPS3A	4444414	4441583	9606.ENSP00000363676	9606.ENSP00000346050	0	0	0	0	0.997	0.992	0.900	0.658	0.999
RPS28	RPS15	4451031	4450850	9606.ENSP00000472469	9606.ENSP00000467466	0.056	0	0	0	0.988	0.972	0.900	0.695	0.999
RPS8	RPL34	4446579	4446300	9606.ENSP00000379888	9606.ENSP00000378163	0	0	0	0	0.995	0.992	0.900	0.460	0.999
RPS14	RPS23	4447293	4437320	9606.ENSP00000385958	9606.ENSP00000296674	0.167	0	0	0	0.995	0.992	0.900	0.744	0.999
RPL11	RPS15A	4444414	4439216	9606.ENSP00000363676	9606.ENSP00000318646	0.219	0	0	0	0.997	0.991	0.900	0.512	0.999
RPS25	RPS29	4449729	4446487	9606.ENSP00000435096	9606.ENSP00000379339	0	0	0	0	0.997	0.840	0.900	0.810	0.999
UBA52	RPL18A	4447538	4433211	9606.ENSP00000388107	9606.ENSP00000222247	0	0	0	0	0.968	0.981	0.900	0.444	0.999
FAU	RPL3	4449743	4441576	9606.ENSP00000435370	9606.ENSP00000346001	0	0	0	0	0.910	0.956	0.900	0.059	0.999
RPL27	RPL15	4450752	4438491	9606.ENSP00000464813	9606.ENSP00000309334	0	0	0	0	0.995	0.992	0.900	0.581	0.999
RPLP1	RPL35	4441581	4434707	9606.ENSP00000346037	9606.ENSP00000259469	0	0	0	0	0.990	0.955	0.900	0.630	0.999
RPL36	RPS13	4450742	4449762	9606.ENSP00000464342	9606.ENSP00000435777	0	0	0	0	0.993	0.992	0.900	0.715	0.999
RPS6	RPL37	4445386	4436119	9606.ENSP00000369757	9606.ENSP00000274242	0	0	0	0	0.904	0.960	0.900	0.356	0.999
RPS10	RPL21	4451602	4441579	9606.ENSP00000481646	9606.ENSP00000346027	0	0	0	0	0.997	0.991	0.900	0.901	0.999
RPL29	RPL15	4448994	4438491	9606.ENSP00000418868	9606.ENSP00000309334	0	0	0	0	0.979	0.960	0.900	0.561	0.999
VPS35	SNX3	4437537	4433493	9606.ENSP00000299138	9606.ENSP00000230085	0	0	0	0	0.115	0.974	0.900	0.893	0.999
RPS20	RPL13	4449502	4438368	9606.ENSP00000429374	9606.ENSP00000307889	0	0	0	0	0.995	0.964	0.900	0.396	0.999
FAU	RPL36A	4449743	4448320	9606.ENSP00000435370	9606.ENSP00000404375	0	0	0	0	0.851	0.959	0.900	0.342	0.999
RPL18	RPS17	4450217	4441582	9606.ENSP00000447001	9606.ENSP00000346046	0	0	0	0	0.942	0.991	0.900	0.682	0.999
RPL10A	RPS9	4444285	4437909	9606.ENSP00000363018	9606.ENSP00000302896	0.167	0	0	0	0.952	0.992	0.900	0.404	0.999
RPS28	RPS24	4451031	4448728	9606.ENSP00000472469	9606.ENSP00000414321	0.051	0	0	0	0.992	0.967	0.900	0.862	0.999
RPL36	RPS9	4450742	4437909	9606.ENSP00000464342	9606.ENSP00000302896	0	0	0	0	0.955	0.992	0.900	0.635	0.999
RPL30	RPL36A	4449429	4448320	9606.ENSP00000428085	9606.ENSP00000404375	0	0	0	0	0.827	0.956	0.900	0.819	0.999
RPL7A	RPS3A	4443861	4441583	9606.ENSP00000361076	9606.ENSP00000346050	0	0	0	0	0.996	0.992	0.900	0.759	0.999
RPL36	RPL35A	4450742	4449013	9606.ENSP00000464342	9606.ENSP00000419117	0	0	0	0	0.983	0.992	0.900	0.774	0.999
GNB2L1	RPL13	4449378	4438368	9606.ENSP00000426909	9606.ENSP00000307889	0	0	0	0	0.994	0.992	0	0.203	0.999
RPL13A	RPS17	4445957	4441582	9606.ENSP00000375730	9606.ENSP00000346046	0	0	0	0	0.980	0.958	0.900	0.259	0.999
RPS5	EEF2	4451050	4438372	9606.ENSP00000472985	9606.ENSP00000307940	0.111	0	0	0	0.960	0.985	0.900	0.427	0.999
RPS6	RPS23	4445386	4437320	9606.ENSP00000369757	9606.ENSP00000296674	0	0	0	0	0.997	0.991	0.900	0.734	0.999
GNB2L1	RPL4	4449378	4438689	9606.ENSP00000426909	9606.ENSP00000311430	0	0	0	0	0.995	0.974	0	0.235	0.999
RPL10A	RPS7	4444285	4440923	9606.ENSP00000363018	9606.ENSP00000339095	0	0	0	0	0.999	0.992	0.900	0.281	0.999
RPL13A	RPS3A	4445957	4441583	9606.ENSP00000375730	9606.ENSP00000346050	0	0	0	0	0.995	0.991	0.900	0.354	0.999
RPL5	RPL39	4443502	4442650	9606.ENSP00000359345	9606.ENSP00000355315	0	0	0	0	0.885	0.958	0.900	0.637	0.999
RPL13A	RPLP1	4445957	4441581	9606.ENSP00000375730	9606.ENSP00000346037	0	0	0	0	0.988	0.957	0.900	0.620	0.999
RPL9	RPS2	4448124	4441195	9606.ENSP00000400467	9606.ENSP00000341885	0.219	0	0.258	0	0.993	0.992	0.900	0.559	0.999
RPS28	RPS15A	4451031	4439216	9606.ENSP00000472469	9606.ENSP00000318646	0	0	0	0	0.987	0.967	0.900	0.701	0.999
COX5A	COX6B1	4439151	4433989	9606.ENSP00000317780	9606.ENSP00000246554	0	0	0	0	0.857	0.842	0.900	0.753	0.999
RPL30	RPS9	4449429	4437909	9606.ENSP00000428085	9606.ENSP00000302896	0	0	0	0	0.978	0.992	0.900	0.707	0.999
RPL34	RPL15	4446300	4438491	9606.ENSP00000378163	9606.ENSP00000309334	0	0	0	0	0.993	0.992	0.900	0.448	0.999
RPS25	EEF1A1	4449729	4440919	9606.ENSP00000435096	9606.ENSP00000339063	0	0	0	0	0.771	0.957	0.900	0.257	0.999
RPS5	RPL27	4451050	4450752	9606.ENSP00000472985	9606.ENSP00000464813	0.112	0	0	0	0.996	0.977	0.900	0.507	0.999
RPS19	RPL35	4450976	4434707	9606.ENSP00000470972	9606.ENSP00000259469	0	0	0	0	0.997	0.992	0.900	0.625	0.999
RPL30	RPS11	4449429	4435953	9606.ENSP00000428085	9606.ENSP00000270625	0	0	0	0	0.993	0.992	0.900	0.852	0.999
EEF2	RPL8	4438372	4435108	9606.ENSP00000307940	9606.ENSP00000262584	0.111	0	0.307	0	0.969	0.956	0.900	0.827	0.999
RPL27	RPLP0	4450752	4450282	9606.ENSP00000464813	9606.ENSP00000449328	0	0	0	0	0.997	0.986	0.900	0.223	0.999
RPL9	UBA52	4448124	4447538	9606.ENSP00000400467	9606.ENSP00000388107	0	0	0	0	0.921	0.960	0.900	0.287	0.999
RPS29	RPL11	4446487	4444414	9606.ENSP00000379339	9606.ENSP00000363676	0.219	0	0	0	0.994	0.805	0.900	0.714	0.999
RPL18	RPL13	4450217	4438368	9606.ENSP00000447001	9606.ENSP00000307889	0	0	0	0	0.993	0.991	0.900	0.544	0.999
RPL36	RPS23	4450742	4437320	9606.ENSP00000464342	9606.ENSP00000296674	0	0	0	0	0.981	0.992	0.900	0.450	0.999
UBA52	RPS3	4447538	4436296	9606.ENSP00000388107	9606.ENSP00000278572	0	0	0	0	0.952	0.847	0.900	0.350	0.999
RPL12	RPL13	4442534	4438368	9606.ENSP00000354739	9606.ENSP00000307889	0	0	0	0	0.996	0.991	0.900	0.173	0.999
RPL30	RPL37	4449429	4436119	9606.ENSP00000428085	9606.ENSP00000274242	0	0	0	0	0.937	0.989	0.900	0.734	0.999
RPL35A	RPL3	4449013	4441576	9606.ENSP00000419117	9606.ENSP00000346001	0	0	0	0	0.991	0.991	0.900	0.434	0.999
RPL6	RPL22	4448260	4441587	9606.ENSP00000403172	9606.ENSP00000346088	0	0	0	0	0.929	0.991	0.900	0.767	0.999
RPL18	RPS3A	4450217	4441583	9606.ENSP00000447001	9606.ENSP00000346050	0	0	0	0	0.980	0.991	0.900	0.230	0.999
RPL22	RPL15	4441587	4438491	9606.ENSP00000346088	9606.ENSP00000309334	0	0	0	0	0.982	0.991	0.900	0.805	0.999
RPS10	RPS23	4451602	4437320	9606.ENSP00000481646	9606.ENSP00000296674	0	0	0	0	0.992	0.991	0.900	0.593	0.999
RPS11	RPS16	4435953	4434174	9606.ENSP00000270625	9606.ENSP00000251453	0.185	0	0	0	0.997	0.999	0.900	0.727	0.999
RPS27	RPL22	4443123	4441587	9606.ENSP00000357555	9606.ENSP00000346088	0	0	0	0	0.902	0.994	0.900	0.641	0.999
RPL36	RPL11	4450742	4444414	9606.ENSP00000464342	9606.ENSP00000363676	0	0	0	0	0.987	0.992	0.900	0.743	0.999
UBA52	RPL21	4447538	4441579	9606.ENSP00000388107	9606.ENSP00000346027	0	0	0	0	0.927	0.960	0.900	0.608	0.999
RPL21	RPL8	4441579	4435108	9606.ENSP00000346027	9606.ENSP00000262584	0	0	0	0	0.999	0.992	0.900	0.678	0.999
RPS10	RPS15A	4451602	4439216	9606.ENSP00000481646	9606.ENSP00000318646	0	0	0	0	0.997	0.992	0.900	0.523	0.999
RPL35A	RPLP1	4449013	4441581	9606.ENSP00000419117	9606.ENSP00000346037	0	0	0	0	0.988	0.960	0.900	0.474	0.999
RPL12	RPL21	4442534	4441579	9606.ENSP00000354739	9606.ENSP00000346027	0	0	0	0	0.992	0.991	0.900	0.719	0.999
RPL36A	RPL13A	4448320	4445957	9606.ENSP00000404375	9606.ENSP00000375730	0	0	0	0	0.791	0.952	0.900	0.454	0.999
RPS28	RPS16	4451031	4434174	9606.ENSP00000472469	9606.ENSP00000251453	0	0	0	0	0.985	0.991	0.900	0.624	0.999
UQCRQ	UQCR10	4445100	4440409	9606.ENSP00000367939	9606.ENSP00000332887	0	0	0	0	0.933	0.958	0.900	0.881	0.999
RPS15	RPL5	4450850	4443502	9606.ENSP00000467466	9606.ENSP00000359345	0.295	0	0	0	0.987	0.980	0.900	0.858	0.999
RPS8	RPS4X	4446579	4444232	9606.ENSP00000379888	9606.ENSP00000362744	0	0	0	0	0.998	0.999	0.900	0.744	0.999
RPL35A	RPL13	4449013	4438368	9606.ENSP00000419117	9606.ENSP00000307889	0	0	0	0	0.995	0.991	0.900	0.211	0.999
RPS13	RPS6	4449762	4445386	9606.ENSP00000435777	9606.ENSP00000369757	0.071	0	0	0	0.997	0.992	0.900	0.496	0.999
RPS28	RPL15	4451031	4438491	9606.ENSP00000472469	9606.ENSP00000309334	0	0	0	0	0.978	0.991	0.900	0.558	0.999
RPS3A	RPL3	4441583	4441576	9606.ENSP00000346050	9606.ENSP00000346001	0	0	0.232	0	0.999	0.991	0.900	0.407	0.999
PSMA1	PSMC2	4448731	4447684	9606.ENSP00000414359	9606.ENSP00000391211	0	0	0	0	0.894	0.992	0.900	0.622	0.999
RPS19	RPL15	4450976	4438491	9606.ENSP00000470972	9606.ENSP00000309334	0	0	0	0	0.993	0.992	0.900	0.792	0.999
RPL36A	RPL22	4448320	4441587	9606.ENSP00000404375	9606.ENSP00000346088	0	0	0	0	0.760	0.956	0.900	0.519	0.999
RPS4X	RPL21	4444232	4441579	9606.ENSP00000362744	9606.ENSP00000346027	0	0	0	0	0.993	0.992	0.900	0.561	0.999
RPS5	RPL7A	4451050	4443861	9606.ENSP00000472985	9606.ENSP00000361076	0.078	0	0	0	0.995	0.991	0.900	0.369	0.999
UQCR11	UQCR10	4450843	4440409	9606.ENSP00000467262	9606.ENSP00000332887	0	0	0	0	0.926	0.944	0.900	0.714	0.999
RPL24	RPS16	4446224	4434174	9606.ENSP00000377640	9606.ENSP00000251453	0	0	0	0	0.977	0.992	0.900	0.310	0.999
RPL10	RPS7	4448690	4440923	9606.ENSP00000413436	9606.ENSP00000339095	0	0	0	0	0.991	0.961	0.900	0.197	0.999
RPL18	RPL19	4450217	4433313	9606.ENSP00000447001	9606.ENSP00000225430	0	0	0	0	0.984	0.991	0.900	0.654	0.999
RPS5	RPS3	4451050	4436296	9606.ENSP00000472985	9606.ENSP00000278572	0.219	0	0	0	0.997	0.959	0.900	0.792	0.999
RPS10	RPL22	4451602	4441587	9606.ENSP00000481646	9606.ENSP00000346088	0	0	0	0	0.909	0.991	0.900	0.724	0.999
PSMA1	PSMB7	4448731	4434704	9606.ENSP00000414359	9606.ENSP00000259457	0	0	0	0	0.885	0.992	0.900	0.675	0.999
RPS17	RPL8	4441582	4435108	9606.ENSP00000346046	9606.ENSP00000262584	0.152	0	0	0	0.971	0.991	0.900	0.406	0.999
RPS4X	RPL3	4444232	4441576	9606.ENSP00000362744	9606.ENSP00000346001	0.185	0	0.374	0	0.998	0.990	0.900	0.483	0.999
RPS28	RPLP0	4451031	4450282	9606.ENSP00000472469	9606.ENSP00000449328	0	0	0	0	0.967	0.960	0.900	0.300	0.999
RPS10	RPLP1	4451602	4441581	9606.ENSP00000481646	9606.ENSP00000346037	0	0	0	0	0.991	0.994	0.900	0.428	0.999
RPL36A	RPS2	4448320	4441195	9606.ENSP00000404375	9606.ENSP00000341885	0	0	0	0	0.705	0.956	0.900	0.640	0.999
RPS29	RPLP1	4446487	4441581	9606.ENSP00000379339	9606.ENSP00000346037	0	0	0	0	0.996	0.805	0.900	0.715	0.999
RPL15	RPL19	4438491	4433313	9606.ENSP00000309334	9606.ENSP00000225430	0	0	0.405	0	0.995	0.991	0.900	0.814	0.999
RPS27	RPS17	4443123	4441582	9606.ENSP00000357555	9606.ENSP00000346046	0	0	0	0	0.969	0.960	0.900	0.692	0.999
RPS5	RPS11	4451050	4435953	9606.ENSP00000472985	9606.ENSP00000270625	0.219	0	0	0	0.999	0.990	0.900	0.715	0.999
RPS27A	RPL19	4436015	4433313	9606.ENSP00000272317	9606.ENSP00000225430	0	0	0	0	0.982	0.991	0.900	0.384	0.999
RPS14	EEF2	4447293	4438372	9606.ENSP00000385958	9606.ENSP00000307940	0.111	0	0.343	0	0.909	0.955	0.900	0.237	0.999
RPL10	RPL19	4448690	4433313	9606.ENSP00000413436	9606.ENSP00000225430	0	0	0	0	0.991	0.973	0.900	0.317	0.999
RPL39	RPS17	4442650	4441582	9606.ENSP00000355315	9606.ENSP00000346046	0	0	0	0	0.984	0.960	0.900	0.308	0.999
RPS10	RPL6	4451602	4448260	9606.ENSP00000481646	9606.ENSP00000403172	0	0	0	0	0.994	0.989	0.900	0.799	0.999
RPLP1	RPS11	4441581	4435953	9606.ENSP00000346037	9606.ENSP00000270625	0	0	0	0	0.996	0.991	0.900	0.494	0.999
RPS24	RPS6	4448728	4445386	9606.ENSP00000414321	9606.ENSP00000369757	0.266	0	0	0	0.997	0.988	0.900	0.779	0.999
RPL24	RPS3	4446224	4436296	9606.ENSP00000377640	9606.ENSP00000278572	0	0	0	0	0.986	0.962	0.900	0.655	0.999
RPL13A	RPL8	4445957	4435108	9606.ENSP00000375730	9606.ENSP00000262584	0.167	0	0	0	0.996	0.991	0.900	0.674	0.999
RPS5	RPS27	4451050	4443123	9606.ENSP00000472985	9606.ENSP00000357555	0	0	0	0	0.996	0.967	0.900	0.583	0.999
RPL35A	RPL36A	4449013	4448320	9606.ENSP00000419117	9606.ENSP00000404375	0	0	0	0	0.828	0.956	0.900	0.789	0.999
RPL27	RPL8	4450752	4435108	9606.ENSP00000464813	9606.ENSP00000262584	0.135	0	0	0	0.995	0.992	0.900	0.635	0.999
RPL36	RPL5	4450742	4443502	9606.ENSP00000464342	9606.ENSP00000359345	0	0	0	0	0.993	0.987	0.900	0.700	0.999
RPL35A	RPL13A	4449013	4445957	9606.ENSP00000419117	9606.ENSP00000375730	0	0	0	0	0.997	0.991	0.900	0.567	0.999
RPS29	RPL7A	4446487	4443861	9606.ENSP00000379339	9606.ENSP00000361076	0.074	0	0	0	0.989	0.805	0.900	0.437	0.999
RPS8	RPS17	4446579	4441582	9606.ENSP00000379888	9606.ENSP00000346046	0	0	0	0	0.989	0.991	0.900	0.703	0.999
RPS2	RPL35	4441195	4434707	9606.ENSP00000341885	9606.ENSP00000259469	0.219	0	0	0	0.961	0.991	0.900	0.568	0.999
GNB2L1	RPL3	4449378	4441576	9606.ENSP00000426909	9606.ENSP00000346001	0	0	0	0	0.994	0.947	0	0.191	0.999
RPS10	RPS5	4451602	4451050	9606.ENSP00000481646	9606.ENSP00000472985	0	0	0	0	0.996	0.988	0.900	0.914	0.999
EEF1A1	RPL15	4440919	4438491	9606.ENSP00000339063	9606.ENSP00000309334	0	0	0.301	0	0.934	0.971	0.900	0.304	0.999
RPL15	RPL18A	4438491	4433211	9606.ENSP00000309334	9606.ENSP00000222247	0	0	0	0	0.994	0.992	0.900	0.685	0.999
RPL13A	RPS3	4445957	4436296	9606.ENSP00000375730	9606.ENSP00000278572	0.219	0	0	0	0.996	0.961	0.900	0.619	0.999
RPS15	RPL36A	4450850	4448320	9606.ENSP00000467466	9606.ENSP00000404375	0	0	0	0	0.766	0.956	0.900	0.600	0.999
RPL9	RPS27A	4448124	4436015	9606.ENSP00000400467	9606.ENSP00000272317	0	0	0	0	0.984	0.990	0.900	0.520	0.999
RPS25	RPL35	4449729	4434707	9606.ENSP00000435096	9606.ENSP00000259469	0	0	0	0	0.996	0.991	0.900	0.614	0.999
RPS6	RPL15	4445386	4438491	9606.ENSP00000369757	9606.ENSP00000309334	0	0	0	0	0.995	0.991	0.900	0.730	0.999
RPS5	UBA52	4451050	4447538	9606.ENSP00000472985	9606.ENSP00000388107	0	0	0	0	0.940	0.973	0.900	0.059	0.999
RPL6	RPS7	4448260	4440923	9606.ENSP00000403172	9606.ENSP00000339095	0	0	0	0	0.996	0.986	0.900	0.738	0.999
UBA52	RPS6	4447538	4445386	9606.ENSP00000388107	9606.ENSP00000369757	0	0	0	0	0.928	0.960	0.900	0.532	0.999
RPS24	RPS17	4448728	4441582	9606.ENSP00000414321	9606.ENSP00000346046	0.078	0	0	0	0.982	0.991	0.900	0.935	0.999
RPS29	RPL3	4446487	4441576	9606.ENSP00000379339	9606.ENSP00000346001	0.135	0	0	0	0.989	0.763	0.900	0.466	0.999
RPL12	RPL37	4442534	4436119	9606.ENSP00000354739	9606.ENSP00000274242	0	0	0	0	0.927	0.960	0.900	0.572	0.999
RPL36	RPL39	4450742	4442650	9606.ENSP00000464342	9606.ENSP00000355315	0	0	0	0	0.959	0.960	0.900	0.539	0.999
RPL36A	RPS27A	4448320	4436015	9606.ENSP00000404375	9606.ENSP00000272317	0	0	0	0	0.786	0.956	0.900	0.392	0.999
RPL35A	RPS2	4449013	4441195	9606.ENSP00000419117	9606.ENSP00000341885	0	0	0	0	0.993	0.992	0.900	0.456	0.999
RPL35A	RPL39	4449013	4442650	9606.ENSP00000419117	9606.ENSP00000355315	0	0	0	0	0.984	0.973	0.900	0.596	0.999
RPLP0	RPL29	4450282	4448994	9606.ENSP00000449328	9606.ENSP00000418868	0	0	0	0	0.971	0.957	0.900	0.717	0.999
RPL18	RPS29	4450217	4446487	9606.ENSP00000447001	9606.ENSP00000379339	0	0	0	0	0.935	0.804	0.900	0.609	0.999
RPS29	RPS27	4446487	4443123	9606.ENSP00000379339	9606.ENSP00000357555	0	0	0	0	0.998	0.775	0.900	0.814	0.999
RPS3A	RPL37	4441583	4436119	9606.ENSP00000346050	9606.ENSP00000274242	0	0	0	0	0.898	0.960	0.900	0.307	0.999
RPS6	RPS17	4445386	4441582	9606.ENSP00000369757	9606.ENSP00000346046	0	0	0	0	0.986	0.991	0.900	0.661	0.999
RPS20	RPS17	4449502	4441582	9606.ENSP00000429374	9606.ENSP00000346046	0	0	0	0	0.988	0.844	0.900	0.742	0.999
RPL30	RPS6	4449429	4445386	9606.ENSP00000428085	9606.ENSP00000369757	0	0	0	0	0.990	0.992	0.900	0.739	0.999
GNB2L1	RPS8	4449378	4446579	9606.ENSP00000426909	9606.ENSP00000379888	0	0	0	0	0.996	0.967	0	0.161	0.999
RPL18	RPS27	4450217	4443123	9606.ENSP00000447001	9606.ENSP00000357555	0	0	0	0	0.910	0.989	0.900	0.385	0.999
RPL9	RPS23	4448124	4437320	9606.ENSP00000400467	9606.ENSP00000296674	0.219	0	0.215	0	0.994	0.992	0.900	0.694	0.999
RPS6	RPL10A	4445386	4444285	9606.ENSP00000369757	9606.ENSP00000363018	0	0	0	0	0.998	0.992	0.900	0.527	0.999
RPS9	RPS27A	4437909	4436015	9606.ENSP00000302896	9606.ENSP00000272317	0	0	0	0	0.944	0.960	0.900	0.189	0.999
RPS4X	RPS11	4444232	4435953	9606.ENSP00000362744	9606.ENSP00000270625	0.295	0	0.289	0	0.997	0.998	0.900	0.371	0.999
RPS28	RPS8	4451031	4446579	9606.ENSP00000472469	9606.ENSP00000379888	0	0	0	0	0.995	0.991	0.900	0.748	0.999
B2M	HLA-C	4450405	4444694	9606.ENSP00000452780	9606.ENSP00000365402	0	0	0	0	0.344	0.973	0.900	0.647	0.999
RPS27	RPS23	4443123	4437320	9606.ENSP00000357555	9606.ENSP00000296674	0	0	0	0	0.994	0.994	0.900	0.749	0.999
RPL24	RPL5	4446224	4443502	9606.ENSP00000377640	9606.ENSP00000359345	0	0	0	0	0.984	0.992	0.900	0.782	0.999
RPS3A	RPS7	4441583	4440923	9606.ENSP00000346050	9606.ENSP00000339095	0	0	0	0	0.996	0.989	0.900	0.356	0.999
RPS15A	RPL4	4439216	4438689	9606.ENSP00000318646	9606.ENSP00000311430	0.135	0	0	0	0.976	0.991	0.900	0.464	0.999
FAU	RPL15	4449743	4438491	9606.ENSP00000435370	9606.ENSP00000309334	0	0	0	0	0.935	0.960	0.900	0.664	0.999
